nudge_id,delta_card_utilization_pct_90d,delta_savings_rate_pct_90d,delta_days_negative_90d,delta_revenue_mxn_90d
698,1.81,0.14,0.06,18.13
699,-0.83,1.16,-0.26,14.95
700,10.37,-1.58,0.37,232.47
701,0.67,0.74,-0.18,19.48
702,-0.55,-0.46,0.21,-22.04
703,0.03,-1.26,-0.33,-3.87
704,0.79,1.6,0.39,8.94
705,0.49,-0.69,0.41,-3.12
706,-0.35,0.23,0.13,4.93
707,-0.79,-1.05,0.02,20.33
708,-0.72,0.06,-0.4,99.8
709,-1.68,-0.73,0.02,5.21
710,-0.22,1.89,-0.66,-75.91
711,-1.56,0.22,-0.35,10.56
712,1.4,-0.74,-0.55,-15.35
713,0.77,-0.93,0.28,-36.15
714,0.2,-1.99,-0.48,44.44
715,0.09,0.5,-0.01,-12.69
716,1.37,-3.27,-0.03,250.69
717,5.07,-1.91,-0.09,276.88
718,-0.21,0.6,-0.07,48.24
719,1.51,0.91,-0.04,25.59
720,-1.06,-1.6,0.17,-1.16
721,0.4,0.35,0.28,6.8
722,-0.87,-1.22,-0.15,13.3
723,-0.2,1.18,-0.02,16.06
724,0.57,-1.08,0.02,-10.35
725,0.25,0.21,0.06,19.91
726,-0.05,0.74,-0.14,11.35
727,0.06,1.1,-0.24,47.97
728,-1.33,-0.06,-0.1,-11.88
729,0.83,-1.67,0.38,32.87
730,0.4,-1.08,-0.02,-1.99
731,-0.62,-1.31,0.2,-27.47
732,-0.64,0.13,-0.17,-18.51
733,17.05,-3.4,2.33,370.71
734,-0.56,0.4,-0.38,18.2
735,-0.58,-0.38,0.26,-57.78
736,-0.2,1.83,0.05,59.15
737,1.01,-1.45,0.29,-46.68
738,0.15,0.52,-0.08,-4.03
739,0.82,-0.08,-0.19,-10.76
740,8.36,-0.58,0.33,221.07
741,0.22,0.46,-0.11,-8.84
742,0.08,-0.39,0.37,14.93
743,-0.98,0.34,-0.26,-73.22
744,1.12,-0.24,-0.0,9.95
745,0.84,0.66,0.02,5.16
746,-0.25,1.09,0.21,20.45
747,-0.5,0.38,0.15,-0.67
748,0.64,0.51,-0.43,-22.23
749,0.32,1.47,-0.36,-20.28
750,0.59,-0.52,-0.04,-17.64
751,2.04,-0.38,-0.29,3.4
752,-1.1,-0.1,-0.01,5.24
753,-1.42,0.46,0.19,14.87
754,-0.37,-0.81,0.21,-1.23
755,0.56,1.63,-0.13,14.51
756,-0.37,1.18,0.55,-5.88
757,2.09,0.14,-0.08,-6.23
758,-2.71,0.34,-0.07,-17.47
759,-0.36,0.18,-0.26,3.09
760,-0.04,0.84,0.12,-58.72
761,-0.23,1.65,-0.14,10.82
762,8.59,-2.13,0.18,219.3
763,-1.21,0.24,0.04,-23.46
764,-0.66,-0.64,-0.21,-23.79
765,1.91,-1.97,0.03,-1.97
766,0.42,-0.49,0.12,-15.17
767,9.14,-3.64,0.44,188.69
768,0.05,-0.36,0.26,-38.75
769,1.11,-0.1,0.04,5.24
770,0.37,-0.12,-0.06,-15.99
771,0.21,0.45,-0.1,12.83
772,0.83,-0.48,-0.13,1.52
773,-1.35,-0.0,-0.03,-17.37
774,-0.16,-0.21,-0.16,-23.75
775,1.08,0.69,-0.17,-5.34
776,-0.88,1.55,0.33,12.4
777,-0.59,0.57,-0.11,8.16
778,-1.64,0.53,0.27,35.57
779,0.42,0.68,-0.11,-17.48
780,1.41,-0.56,0.27,41.16
781,-0.66,-0.45,-0.37,19.44
782,0.72,0.83,-0.1,-31.8
783,0.02,-0.78,0.37,-34.99
784,-1.19,0.25,0.09,-10.13
785,-0.53,-0.86,-0.39,18.49
786,-0.34,0.43,0.17,14.47
787,-0.06,-0.27,-0.12,-37.18
788,2.41,-0.83,-0.37,22.2
789,-1.27,1.3,-0.24,-6.17
790,-0.6,-0.68,-0.17,-22.67
791,0.52,1.3,-0.24,3.56
792,1.37,-0.76,-0.07,-16.23
793,0.72,0.1,0.02,-0.47
794,-0.79,-0.62,0.6,6.11
795,-0.32,-0.48,-0.24,-6.2
796,0.69,-0.2,0.31,-15.0
797,-0.36,1.74,-0.21,-32.28
798,-0.73,-0.61,-0.09,-10.81
799,0.74,-0.54,-0.0,56.42
800,0.95,-0.09,-0.11,0.62
801,-0.33,-0.01,0.0,-4.21
802,0.13,0.87,0.76,9.65
803,0.18,-0.33,-0.13,-4.98
804,-1.25,0.15,-0.25,-40.75
805,-0.23,0.33,0.17,-4.22
806,2.74,-1.99,0.05,273.09
807,0.99,-0.44,0.19,27.21
808,-0.38,-1.25,-0.19,47.26
809,0.51,-1.22,0.2,-21.01
810,0.99,-0.06,0.07,-10.78
811,0.98,-0.03,0.21,10.87
812,0.62,0.25,-0.18,-4.47
813,1.19,-0.25,0.05,-2.26
814,-1.25,-2.32,0.02,-11.79
815,-0.44,-0.72,0.21,-32.32
816,2.32,3.65,0.21,-15.14
817,0.35,2.08,0.02,-8.68
818,-0.06,-0.13,-0.48,-24.23
819,0.93,-0.38,0.26,-2.16
820,-0.48,0.83,-0.34,4.4
821,1.07,-0.57,-0.41,37.12
822,-0.55,-1.35,-0.28,17.45
823,0.21,-0.07,-0.17,-32.15
824,0.78,0.92,0.0,-23.46
825,0.03,0.52,-0.01,-46.67
826,10.62,-2.55,0.77,174.24
827,1.55,-0.49,-0.46,18.84
828,-0.28,-0.37,0.52,34.74
829,-2.13,0.38,-0.05,10.17
830,-1.39,1.03,-0.33,-42.4
831,0.81,1.03,0.08,-10.93
832,-0.65,1.24,0.13,-32.44
833,-0.52,-0.0,-0.96,-87.62
834,1.53,-0.29,0.02,15.18
835,-0.43,0.41,-0.43,-12.43
836,0.44,1.84,0.06,-41.45
837,0.73,0.28,-0.95,-15.21
838,-1.27,0.21,-0.07,38.82
839,-0.97,-1.6,0.05,-9.64
840,2.0,-1.36,0.01,-4.64
841,1.46,-0.05,-0.95,-6.32
842,-0.91,-0.76,-0.46,8.37
843,-0.17,-1.6,0.28,24.8
844,-1.07,-0.24,-0.08,-22.95
845,-0.47,-0.85,-0.31,-47.96
846,-0.87,-0.45,-0.21,30.46
847,-0.99,1.04,0.06,10.54
848,-1.03,1.12,0.28,5.14
849,0.87,-0.9,0.2,8.71
850,1.27,0.43,-0.14,6.68
851,-1.2,-0.65,0.51,-55.16
852,-1.12,-0.67,-0.02,42.26
853,-0.19,0.33,0.42,-21.37
854,1.45,0.4,0.41,17.67
855,0.52,1.17,-0.38,-25.75
856,-1.0,-0.62,0.63,-17.51
857,-1.06,-0.78,0.3,-21.11
858,0.32,0.46,0.22,-15.61
859,-0.18,0.53,0.2,-40.71
860,-0.06,-0.38,-0.01,50.28
861,0.06,-0.62,0.03,26.09
862,0.88,0.41,-0.06,-18.91
863,-1.24,-0.53,0.11,30.68
864,-1.62,1.84,-0.18,5.74
865,0.3,2.08,-0.57,92.22
866,0.36,0.74,-0.09,-16.09
867,-1.45,-0.21,0.08,14.79
868,-0.08,-1.13,0.19,25.29
869,-0.31,-0.33,0.07,17.84
870,-0.38,0.32,0.12,12.82
871,0.9,-0.63,0.14,3.7
872,1.06,2.82,0.16,54.7
873,0.07,1.47,0.13,5.3
874,-1.01,0.45,-0.13,21.89
875,1.6,0.05,0.15,-38.02
876,0.3,-0.42,-0.54,3.02
877,1.37,0.26,-0.13,39.82
878,1.23,0.28,0.38,-12.21
879,0.34,0.28,-0.26,47.3
880,-1.62,-0.37,-0.46,-24.97
881,0.32,-0.36,-0.16,11.77
882,-0.57,0.43,0.15,11.25
883,-1.45,1.41,0.27,25.02
884,-1.12,0.11,-0.3,-7.16
885,0.01,-0.07,0.32,-1.63
886,-0.44,-0.63,0.34,-26.77
887,-1.04,0.79,-0.14,48.01
888,-0.43,-0.73,-0.55,21.44
889,0.34,-0.65,0.41,-21.27
890,-2.36,-0.12,-0.29,-12.2
891,1.8,-0.55,-0.05,2.99
892,-1.37,-0.84,0.39,-10.27
893,-0.2,0.91,-0.8,-88.23
894,8.77,-2.03,-0.35,283.31
895,-1.19,1.13,0.64,33.47
896,0.9,0.81,-0.13,-27.03
897,-0.11,3.1,0.14,43.49
898,0.86,-0.14,0.14,14.35
899,-1.35,0.1,0.1,6.95
900,-1.13,0.56,-0.16,9.79
901,0.85,0.32,-0.03,2.81
902,-0.64,0.26,-0.43,-98.37
903,1.21,-1.11,0.07,-35.37
904,0.01,0.27,-0.1,-7.49
905,4.9,-2.48,0.06,314.31
906,7.39,-1.64,0.49,227.26
907,-0.16,0.56,0.08,-50.51
908,0.26,-0.94,0.29,24.44
909,-1.24,0.77,-0.02,-14.8
910,-0.79,-0.16,-0.19,-23.71
911,-1.44,0.13,0.04,-23.91
912,0.33,-1.23,0.04,-25.89
913,-0.29,-0.45,-0.34,9.17
914,-0.93,-0.54,-0.09,17.69
915,0.34,-0.36,-0.2,28.61
916,-0.04,0.54,0.06,-52.42
917,0.06,0.57,-0.17,-8.95
918,1.89,-0.8,0.16,-8.65
919,0.25,-0.45,0.37,-2.76
920,0.21,1.49,-0.09,49.35
921,-1.66,0.39,-0.1,-24.42
922,-0.1,-0.49,0.03,-17.63
923,-2.2,7.34,-0.52,1.85
924,4.12,-2.2,-0.27,269.47
925,-0.04,0.35,0.2,20.91
926,-2.69,7.15,-0.36,29.11
927,1.85,2.13,-0.04,4.35
928,0.68,0.43,-0.04,-34.71
929,-0.51,1.9,-0.69,-52.12
930,-1.26,0.66,-0.02,38.61
931,-0.13,-0.27,-1.09,-64.72
932,-3.15,5.24,-0.35,19.93
933,0.61,0.06,0.3,-0.82
934,1.25,-1.95,-0.22,36.99
935,0.3,1.07,0.13,-23.63
936,-0.06,-0.54,-0.11,-10.04
937,-0.95,0.33,-0.22,-20.75
938,0.92,-0.68,-0.18,5.45
939,0.32,0.31,0.04,16.91
940,-1.55,1.74,-0.38,6.93
941,-0.22,0.47,0.02,0.7
942,1.09,0.45,-0.29,7.28
943,-0.45,-0.22,-1.09,-97.25
944,0.93,-1.25,-0.13,-16.83
945,0.32,1.57,0.07,-6.38
946,0.57,2.15,0.03,-37.7
947,-0.57,-0.36,0.45,16.68
948,-0.4,-0.95,-0.15,33.77
949,5.62,-2.41,0.39,247.84
950,1.45,0.18,-0.19,28.12
951,2.26,-0.83,-0.13,-3.14
952,0.43,0.74,-0.04,6.78
953,-0.47,-1.23,-0.06,-36.13
954,-0.57,-0.13,-0.25,7.87
955,-0.42,-0.04,-0.03,-25.06
956,0.07,0.59,0.04,-22.5
957,-1.23,0.26,0.36,-4.51
958,0.0,0.29,0.24,24.57
959,-0.21,0.2,-0.35,-21.47
960,0.29,2.12,-0.03,18.94
961,-0.98,-0.96,-0.76,-98.12
962,0.01,0.23,-0.02,5.66
963,-1.86,-0.49,0.37,9.4
964,-0.36,-0.05,-0.84,-47.84
965,-0.87,2.19,0.02,2.35
966,0.89,-0.73,-0.47,-28.35
967,1.25,1.51,0.12,-4.08
968,0.33,2.43,-0.27,-7.64
969,0.5,0.37,-0.36,1.11
970,3.4,-0.74,-0.29,-4.78
971,1.5,1.85,-0.37,-16.46
972,-0.73,0.58,0.46,-12.48
973,0.62,1.12,0.12,-29.94
974,-0.55,-0.12,-0.04,-59.02
975,0.12,-0.83,0.15,-8.87
976,-0.27,1.62,-0.31,-21.48
977,-0.0,-0.02,-0.34,-6.22
978,-1.24,-0.78,0.0,-16.53
979,-1.67,0.81,-0.0,-20.04
980,-0.49,1.47,0.22,3.02
981,2.09,-0.16,-0.37,-16.25
982,0.33,-1.03,0.01,-18.8
983,-0.59,0.69,-0.57,-40.78
984,-0.92,-1.55,0.29,7.78
985,1.09,-0.47,0.0,-12.25
986,-0.43,-1.41,0.22,-24.87
987,-0.25,0.5,0.03,-7.12
988,2.07,-0.73,0.02,1.45
989,0.7,-0.01,0.22,-5.56
990,0.21,0.19,-0.09,-11.0
991,-0.93,-0.65,0.7,-10.7
992,1.25,0.42,0.07,16.19
993,-0.26,-0.4,-0.05,44.47
994,1.26,-0.92,-0.9,-62.33
995,-0.37,7.27,-0.54,38.94
996,0.13,0.0,-0.37,31.46
997,-0.81,-1.67,-0.1,23.8
998,0.37,-1.39,0.25,21.14
999,-1.36,-0.16,-0.01,19.92
1000,-0.48,1.36,-0.13,34.5
